method,actions,budget_fraction,mean_f1_pp
DPA,103,0.02861111111111111,41.29666666666667
DPA,104,0.028888888888888888,41.29666666666667
DPA,105,0.029166666666666667,41.32277777777778
DPA,106,0.029444444444444443,41.32277777777778
DPA,107,0.029722222222222223,41.32277777777778
DPA,108,0.03,41.33888888888889
DPA,109,0.03027777777777778,41.33888888888889
DPA,110,0.030555555555555555,41.394444444444446
DPA,111,0.030833333333333334,41.40388888888889
DPA,112,0.03111111111111111,41.40388888888889
DPA,113,0.03138888888888889,41.40388888888889
DPA,114,0.03166666666666667,41.45944444444444
DPA,115,0.03194444444444444,41.45944444444444
DPA,116,0.03222222222222222,41.47777777777778
DPA,117,0.0325,41.53333333333333
DPA,118,0.03277777777777778,41.49388888888889
DPA,119,0.03305555555555555,41.49388888888889
DPA,120,0.03333333333333333,41.54944444444445
DPA,121,0.03361111111111111,41.562222222222225
DPA,122,0.03388888888888889,41.562222222222225
DPA,123,0.034166666666666665,41.617777777777775
DPA,124,0.034444444444444444,41.57833333333333
DPA,125,0.034722222222222224,41.57833333333333
DPA,126,0.035,41.59166666666667
DPA,127,0.035277777777777776,41.6
DPA,128,0.035555555555555556,41.6
DPA,129,0.035833333333333335,41.6
DPA,130,0.03611111111111111,41.63944444444444
DPA,131,0.03638888888888889,41.63944444444444
DPA,132,0.03666666666666667,41.63944444444444
DPA,133,0.036944444444444446,41.63944444444444
DPA,134,0.03722222222222222,41.63944444444444
DPA,135,0.0375,41.63944444444444
DPA,136,0.03777777777777778,41.695
DPA,137,0.03805555555555556,41.75055555555556
DPA,138,0.03833333333333333,41.75055555555556
DPA,139,0.03861111111111111,41.75055555555556
DPA,140,0.03888888888888889,41.75055555555556
DPA,141,0.03916666666666667,41.75055555555556
DPA,142,0.03944444444444444,41.778333333333336
DPA,143,0.03972222222222222,41.745
DPA,144,0.04,41.745
DPA,145,0.04027777777777778,41.745
DPA,146,0.04055555555555555,41.782222222222224
DPA,147,0.04083333333333333,41.83777777777778
DPA,148,0.04111111111111111,41.81388888888889
DPA,149,0.04138888888888889,41.81388888888889
DPA,150,0.041666666666666664,41.81388888888889
DPA,151,0.041944444444444444,41.81388888888889
DPA,152,0.042222222222222223,41.81388888888889
DPA,153,0.0425,41.81388888888889
DPA,154,0.042777777777777776,41.81388888888889
DPA,155,0.043055555555555555,41.86944444444445
DPA,156,0.043333333333333335,41.91388888888889
DPA,157,0.043611111111111114,41.91388888888889
DPA,158,0.04388888888888889,41.91388888888889
DPA,159,0.04416666666666667,41.91388888888889
DPA,160,0.044444444444444446,41.91388888888889
DPA,161,0.04472222222222222,41.91388888888889
DPA,162,0.045,41.91388888888889
DPA,163,0.04527777777777778,41.91388888888889
DPA,164,0.04555555555555556,41.93611111111111
DPA,165,0.04583333333333333,41.93611111111111
DPA,166,0.04611111111111111,41.93611111111111
DPA,167,0.04638888888888889,41.93611111111111
DPA,168,0.04666666666666667,41.973333333333336
DPA,169,0.04694444444444444,41.973333333333336
DPA,170,0.04722222222222222,41.973333333333336
DPA,171,0.0475,42.028888888888886
DPA,172,0.04777777777777778,42.08444444444444
DPA,173,0.04805555555555555,42.07277777777778
DPA,174,0.04833333333333333,42.12833333333334
DPA,175,0.04861111111111111,42.18388888888889
DPA,176,0.04888888888888889,42.13777777777778
DPA,177,0.049166666666666664,42.09833333333333
