replicate,sample_sha256,IDR_AUBPC,DPA_AUBPC,IDR_minus_DPA_pp
144,78c9359659d69e1391ce775fa5664a43a76b1e3cf2a39072a77993b0571164a0,55.01434614197532,47.04750231481482,7.9668438271604956
145,9871066da19e44b5f8f0f65809f34e8367796c40a3998950505719f7f306d682,55.151671141975314,48.42743333333334,6.724237808641973
146,542741ca5554ecac0253d54a46cc5e97c84b13619ac1f451b1623a5703f55044,55.54926018518519,48.10430756172839,7.4449526234568
147,6af885286f35bfbb2c96d3bf5147b009ee007a81a4ce7996344484ba575ce419,54.253507716049384,46.62855648148148,7.624951234567902
148,2c146a9a36af65bf6915fe88615f40ef269df261dde1f921f9f47d9fdd6f9e26,53.84783287037036,45.884129320987654,7.963703549382707
149,e29266132734ef9a02ecdc7879f66dcc47e53fdbe2f62a0f3a58e05db85ad9be,55.65696574074074,48.11731481481482,7.539650925925919
150,3a4a2f4c44282100509313e5c6da77ff0a0dcec755d941ac8a9856d25b084aa8,55.1531,47.385339969135806,7.767760030864196
151,af4f33cf2ec40254afa9f17724c71f2e2c0f8fd2f24f8e22f8e61c28f22dbbdc,55.241709104938266,48.2765824074074,6.965126697530863
152,87e707cb108f737d521af9f2699828244f275dbe4fe8634e69263dc2078e96d8,56.24105709876543,48.62728935185184,7.613767746913588
153,c298ff09fb03c382d627b6aae33a64b6e623f553ca41612c2e5182da20ae2a70,55.07273364197532,48.2026100308642,6.870123611111119
154,3d75994f448830810e908c69a5f8fef3224e83a77c8b86c4769bb857412f303b,55.16621759259259,47.47258981481481,7.6936277777777775
155,c925543bf3dbac31ceeea5cd691842bec9fcb6ac5c1ec936ad836035668126b8,56.54617253086419,48.73103148148148,7.81514104938271
156,e513a9a6d06da00a468bb1d09c3efe4bb0097b1636d8429002b216b542dbbca2,53.417914043209876,46.234060493827165,7.183853549382711
157,d09dc679a5d09eca82f857999fa6034f2107b28b54481ee914e244aefa7172d5,55.5374300925926,48.0626450617284,7.474785030864204
158,21d4287a55216c5c5dca17912efed509d7bba7cc61699c1c31345a336bb8b8e2,55.3985774691358,48.549030246913574,6.849547222222228
159,8afe23581a685861fd68d3c99b0599ea17c63a21916ede50157532a5db085387,56.786741049382705,49.50595092592592,7.280790123456782
160,ba48e4877d70f090a597820c14d771c6311374f2de6e72cacbf4aabe64a7b050,55.116781944444426,47.65866327160494,7.45811867283949
161,af22d49c18f1d7977cd8e5a2df75864b25a0a99944605e9ad4ff0dbf36c952a6,54.68450216049383,48.077013580246906,6.6074885802469225
162,499740bd2d6be9c1d98570da8eef584582b65caf61ca63ffebe74300058ab452,55.22437530864198,48.270360339506176,6.954014969135805
163,fe4186af7f6e02527106c04a63b3c5a3a3b5a8959036a3b3dd438cba9475d212,55.98249228395061,48.66036820987654,7.322124074074075
164,932185ebcb821d282d3fcd170d732deba47a960eeed70f4b9cc7722edcf57dc3,56.057655401234555,49.107,6.950655401234556
165,9a0cb485566a38e94e1d71a7f0cef3cdf10cfdbb6e57445a3796bbfdabfcd4e9,56.544824074074064,48.605263117283954,7.93956095679011
166,12ebcc012060a7f05f0c820c05f7af1b52cdeafd53453749f8fdbc27dc0fdf72,54.63571064814815,47.44951851851852,7.1861921296296245
167,c91a5e9f0c5b86f5d7b69da5ed52fb514e35cab6e0931a852dd845955c521568,56.02810586419753,49.073541512345685,6.954564351851843
168,3e88b43a76cbda77323b5a8054c6817107b05d8a5e1c5906bd880e84dd6afb81,55.524962191358014,47.724577623456796,7.800384567901219
169,b910100aa36923e00d51676f793700dff4f7b6241caffb03b0f3db2032671d14,55.10223225308643,46.86924922839506,8.232983024691364
170,64aadf9d4cc7b91ad179b8881c4d0ab8425c5aab1d2bd00d1bd55d5e40ad8c5a,55.66149629629629,48.39583981481481,7.265656481481479
171,e44503127d96d0fdfda5c56c1bb2110a81b25b3cf28e65a99968a96a3f7a4152,56.47011682098765,48.10229768518518,8.36781913580247
172,f325ae287dfd307d9ff285af9b97e364db59f22c4b92585a309fe5c49fe02be1,54.94679675925924,47.83373287037037,7.113063888888874
173,82818aa255ee131142c372cd8f54599e5291e5ea2fb0de23c8940769c17baded,55.47289166666666,48.346231327160496,7.1266603395061665
174,858f0b8578da2a3ccfca9b479584879f7cd62fcaaf279e21c1ad3624f8608369,54.989977469135795,47.746024228395065,7.24395324074073
175,6fafa30eb1d55667c933be4ee12646722f10bebbdc365175e5da62ab459ae239,55.43011404320988,47.909486419753094,7.5206276234567895
176,2974b9753bd49eb052e952fcd51f250d3e936d8eaafa7e2a402d965fe42af14c,58.509484413580246,51.385085339506176,7.12439907407407
177,d5558c59777546fca5f4fb9f3eded147db4256826916394d89ae1ccc910b743b,55.598677160493835,48.23001388888889,7.3686632716049445
178,ae85f125ec0af120cbc6b65eabd56eac91b764a1bfd9410284ea0dccd94651da,55.850762654320974,48.81633811728395,7.034424537037026
179,41068a344a25829d0f208de3cb87cbf007b4d081468ba78f9fcf4e6b8f38cc78,56.088535648148145,48.85297793209876,7.235557716049385
180,132d998079994b5e95174fc576f7b41ad007cb472b70d2726de9f8157c9418b0,55.81588070987653,48.657516975308646,7.158363734567885
181,96604e8be0abac2647bfe4d8d59ea988d5f7f7c17c7557ca035b25d67d7149cc,54.372153549382716,47.27548024691358,7.096673302469135
182,667eb04061c9ca8d8e0d1ccb443ffdaa5f6fdfc3adb1746b98ef42bafd93d1d2,55.68596790123455,47.50742314814815,8.178544753086399
183,ef05a5b1f864989187bb356dd3e6d17397c447f2b08ed5766a5b2177c43cdc01,55.88869953703705,48.19370138888889,7.694998148148159
184,6651fe51b2bed336f410834cc097dd406638a23f1b61da9cf09cef98b9704c9c,56.52901651234567,48.334430246913584,8.194586265432086
185,1d4be02b0af0722c557095ba672032ff0add1e49c36b3bde2d7ea75af2e464cf,54.30805864197531,47.10511265432099,7.202945987654317
186,22dc1fa1f4bcfcaf7f5e420227b949a97ea073fdb5ecadeea09f6265fa58072e,53.945748148148134,46.815190586419746,7.130557561728388
187,7fd9e4c4a7987a9552a9bf2ea11da9ae268578f41f33fc958a693817d9dba4ca,56.27590787037036,48.823874845679015,7.452033024691346
188,43911f542e53d38e17ee5802a59361d4c6cb7cb8c640470f91ae246f6628f497,54.624000462962954,47.341592438271604,7.28240802469135
189,d2c4504e8a9f805d036dda163a590073f562c50f75a41676122911879deb218d,55.58548641975308,47.897902160493835,7.687584259259246
190,65055414ce28393a27e05b031143f3675ddc5248746a2f62066642fd36757074,54.195238734567894,46.61367391975309,7.581564814814804
191,ed551000569886c7edd79d98bde99a04598e3bf99819c8d580eb7f1a116a018c,55.30200632716049,47.69157577160494,7.610430555555553
192,8fecc03ac145c6136a5c137c7238769570f57cb4e55aa3bc5b270f8872cd4624,56.048669598765436,48.3082811728395,7.740388425925936
193,5fe4c25d4bdb5f1ff644af1b079b9b75f87994351725eb171c0e1e70915ebd2a,54.870537345679004,47.85916558641975,7.011371759259255
194,de10807d2d9f6a025f13403bfc3c9754ab9594e19743d7f56b7b40b59f34f518,57.052409876543216,49.0796175925926,7.972792283950618
195,9b611c47dabd1806576944fc32b318696fc8f95c05e3d5bc6707389c27f66a3e,55.94090941358024,47.97070694444445,7.970202469135792
196,c817921e439a0d4e5c724dd8cd5b7538d1bce51dbc65f61ec979cb6d8507c7fa,55.04197947530864,47.978249691358016,7.0637297839506274
197,81e691cc0532fa5e0d20e5d495f449725e714684b003104e389fbf556b7c810e,55.999897993827155,48.70505046296296,7.294847530864196
198,22d5e7eddb734a0be069b8983e744649335c95570acff0b1322fd901820adea0,56.42255555555555,48.59746604938272,7.82508950617283
